data,região,à vista,30 dias
30/05/2022,SP Araçatuba,266.0,268.0
30/05/2022,MG Triângulo,245.5,247.0
30/05/2022,MG B.Horizonte,246.5,248.0
30/05/2022,MG Norte,256.0,258.0
30/05/2022,MG Sul,261.0,263.0
30/05/2022,GO Goiânia,251.0,253.0
30/05/2022,GO Reg. Sul,254.0,256.0
30/05/2022,MS Dourados,259.0,261.0
30/05/2022,MS C. Grande,257.0,259.0
30/05/2022,MS Três Lagoas,261.0,263.0
30/05/2022,RS Oeste**,10.25,10.35
30/05/2022,RS Pelotas**,10.15,10.25
30/05/2022,BA Sul,259.0,261.0
30/05/2022,BA Oeste,264.0,266.0
30/05/2022,MT Norte,255.0,257.0
30/05/2022,MT Sudoeste,252.0,254.0
30/05/2022,MT Cuiabá*,264.0,266.0
30/05/2022,MT Sudeste,256.0,258.0
30/05/2022,PR Noroeste,262.0,264.0
30/05/2022,SC,279.0,280.5
30/05/2022,MA Oeste,256.0,258.0
30/05/2022,Alagoas,283.5,285.5
30/05/2022,PA Marabá,256.0,258.0
30/05/2022,PA Redenção,254.0,256.0
30/05/2022,PA Paragominas,276.0,278.0
30/05/2022,RO Sudeste,246.5,248.0
30/05/2022,TO Sul,253.0,255.0
30/05/2022,TO Norte,253.0,255.0
30/05/2022,Acre,244.5,246.5
30/05/2022,ES,260.0,262.0
30/05/2022,RJ,268.0,270.0
31/05/2022,SP Barretos,266.0,268.0
31/05/2022,SP Araçatuba,266.0,268.0
31/05/2022,MG Triângulo,244.5,246.5
31/05/2022,MG B.Horizonte,246.5,248.0
31/05/2022,MG Norte,254.0,256.0
31/05/2022,MG Sul,259.0,261.0
31/05/2022,GO Goiânia,251.0,253.0
31/05/2022,GO Reg. Sul,254.0,256.0
31/05/2022,MS Dourados,257.0,259.0
31/05/2022,MS C. Grande,254.0,256.0
31/05/2022,MS Três Lagoas,259.0,261.0
31/05/2022,RS Oeste**,10.25,10.35
31/05/2022,RS Pelotas**,10.15,10.25
31/05/2022,BA Sul,259.0,261.0
31/05/2022,BA Oeste,262.0,264.0
31/05/2022,MT Norte,254.0,256.0
31/05/2022,MT Sudoeste,250.0,252.0
31/05/2022,MT Cuiabá*,264.0,266.0
31/05/2022,MT Sudeste,254.0,256.0
31/05/2022,PR Noroeste,260.0,262.0
31/05/2022,SC,279.0,280.5
31/05/2022,MA Oeste,256.0,258.0
31/05/2022,Alagoas,283.5,285.5
31/05/2022,PA Marabá,254.0,256.0
31/05/2022,PA Redenção,254.0,256.0
31/05/2022,PA Paragominas,276.0,278.0
31/05/2022,RO Sudeste,242.5,244.5
31/05/2022,TO Sul,250.0,252.0
31/05/2022,TO Norte,252.0,254.0
31/05/2022,Acre,244.5,246.5
31/05/2022,ES,258.0,260.0
31/05/2022,RJ,268.0,270.0
01/06/2022,SP Barretos,266.0,268.0
01/06/2022,SP Araçatuba,266.0,268.0
01/06/2022,MG Triângulo,244.5,246.5
01/06/2022,MG B.Horizonte,246.5,248.0
01/06/2022,MG Norte,252.0,254.0
01/06/2022,MG Sul,256.0,258.0
01/06/2022,GO Goiânia,251.0,253.0
01/06/2022,GO Reg. Sul,254.0,256.0
01/06/2022,MS Dourados,254.0,256.0
01/06/2022,MS C. Grande,254.0,256.0
01/06/2022,MS Três Lagoas,256.0,258.0
01/06/2022,RS Oeste**,10.15,10.25
01/06/2022,RS Pelotas**,10.15,10.25
01/06/2022,BA Sul,259.0,261.0
01/06/2022,BA Oeste,260.0,262.0
01/06/2022,MT Norte,252.0,254.0
01/06/2022,MT Sudoeste,249.0,251.0
01/06/2022,MT Cuiabá*,262.0,264.0
01/06/2022,MT Sudeste,254.0,256.0
01/06/2022,PR Noroeste,259.0,261.0
01/06/2022,SC,279.0,280.5
01/06/2022,MA Oeste,254.0,256.0
01/06/2022,Alagoas,283.5,285.5
01/06/2022,PA Marabá,254.0,256.0
01/06/2022,PA Redenção,254.0,256.0
01/06/2022,PA Paragominas,274.0,276.0
01/06/2022,RO Sudeste,239.5,241.5
01/06/2022,TO Sul,249.0,251.0
01/06/2022,TO Norte,250.0,252.0
01/06/2022,Acre,244.5,246.5
01/06/2022,ES,256.0,258.0
01/06/2022,RJ,266.0,268.0
02/06/2022,SP Barretos,266.0,268.0
02/06/2022,SP Araçatuba,266.0,268.0
02/06/2022,MG Triângulo,244.5,246.5
02/06/2022,MG B.Horizonte,244.5,246.5
02/06/2022,MG Norte,250.0,252.0
02/06/2022,MG Sul,254.0,256.0
02/06/2022,GO Goiânia,249.0,251.0
02/06/2022,GO Reg. Sul,254.0,256.0
02/06/2022,MS Dourados,254.0,256.0
02/06/2022,MS C. Grande,254.0,256.0
02/06/2022,MS Três Lagoas,253.0,255.0
