data,região,à vista,30 dias
30/05/2022,MG Triângulo,272.0,274.0
30/05/2022,MG B.Horizonte,264.0,266.0
30/05/2022,MG Norte,266.0,268.0
30/05/2022,MG Sul,276.0,278.0
30/05/2022,GO Goiânia,266.0,268.0
30/05/2022,GO Reg. Sul,269.0,271.0
30/05/2022,MS Dourados,278.0,279.5
30/05/2022,MS C. Grande,276.0,278.0
30/05/2022,MS Três Lagoas,281.5,283.5
30/05/2022,RS Oeste**,10.85,10.95
30/05/2022,RS Pelotas**,10.85,10.95
30/05/2022,BA Sul,264.0,266.0
30/05/2022,BA Oeste,272.0,274.0
30/05/2022,MT Norte,267.0,269.0
30/05/2022,MT Sudoeste,274.0,276.0
30/05/2022,MT Cuiabá*,274.0,276.0
30/05/2022,MT Sudeste,269.0,271.0
30/05/2022,PR Noroeste,291.5,293.5
30/05/2022,SC,308.5,310.5
30/05/2022,MA Oeste,268.0,270.0
30/05/2022,Alagoas,293.5,295.5
30/05/2022,PA Marabá,268.0,270.0
30/05/2022,PA Redenção,264.0,266.0
30/05/2022,PA Paragominas,279.5,281.5
30/05/2022,RO Sudeste,256.0,258.0
30/05/2022,TO Sul,264.0,266.0
30/05/2022,TO Norte,267.0,269.0
30/05/2022,Acre,259.0,261.0
30/05/2022,ES,271.0,273.0
30/05/2022,RJ,280.5,282.5
31/05/2022,SP Barretos,295.5,297.5
31/05/2022,SP Araçatuba,295.5,297.5
31/05/2022,MG Triângulo,270.0,272.0
31/05/2022,MG B.Horizonte,264.0,266.0
31/05/2022,MG Norte,266.0,268.0
31/05/2022,MG Sul,272.0,274.0
31/05/2022,GO Goiânia,266.0,268.0
31/05/2022,GO Reg. Sul,266.0,268.0
31/05/2022,MS Dourados,274.0,276.0
31/05/2022,MS C. Grande,274.0,276.0
31/05/2022,MS Três Lagoas,280.5,282.5
31/05/2022,RS Oeste**,10.75,10.85
31/05/2022,RS Pelotas**,10.75,10.85
31/05/2022,BA Sul,264.0,266.0
31/05/2022,BA Oeste,270.0,272.0
31/05/2022,MT Norte,264.0,266.0
31/05/2022,MT Sudoeste,272.0,274.0
31/05/2022,MT Cuiabá*,274.0,276.0
31/05/2022,MT Sudeste,269.0,271.0
31/05/2022,PR Noroeste,290.5,292.5
31/05/2022,SC,308.5,310.5
31/05/2022,MA Oeste,268.0,270.0
31/05/2022,Alagoas,293.5,295.5
31/05/2022,PA Marabá,266.0,268.0
31/05/2022,PA Redenção,264.0,266.0
31/05/2022,PA Paragominas,279.5,281.5
31/05/2022,RO Sudeste,252.0,254.0
31/05/2022,TO Sul,264.0,266.0
31/05/2022,TO Norte,267.0,269.0
31/05/2022,Acre,259.0,261.0
31/05/2022,ES,271.0,273.0
31/05/2022,RJ,279.0,280.5
01/06/2022,SP Barretos,292.5,294.5
01/06/2022,SP Araçatuba,292.5,294.5
01/06/2022,MG Triângulo,269.0,271.0
01/06/2022,MG B.Horizonte,264.0,266.0
01/06/2022,MG Norte,266.0,268.0
01/06/2022,MG Sul,268.0,270.0
01/06/2022,GO Goiânia,264.0,266.0
01/06/2022,GO Reg. Sul,264.0,266.0
01/06/2022,MS Dourados,274.0,276.0
01/06/2022,MS C. Grande,274.0,276.0
01/06/2022,MS Três Lagoas,279.0,280.5
01/06/2022,RS Oeste**,10.65,10.75
01/06/2022,RS Pelotas**,10.65,10.75
01/06/2022,BA Sul,264.0,266.0
01/06/2022,BA Oeste,268.0,270.0
01/06/2022,MT Norte,264.0,266.0
01/06/2022,MT Sudoeste,269.0,271.0
01/06/2022,MT Cuiabá*,272.0,274.0
01/06/2022,MT Sudeste,269.0,271.0
01/06/2022,PR Noroeste,288.5,290.5
01/06/2022,SC,305.5,307.5
01/06/2022,MA Oeste,266.0,268.0
01/06/2022,Alagoas,293.5,295.5
01/06/2022,PA Marabá,264.0,266.0
01/06/2022,PA Redenção,264.0,266.0
01/06/2022,PA Paragominas,278.0,279.5
01/06/2022,RO Sudeste,249.0,251.0
01/06/2022,TO Sul,262.0,264.0
01/06/2022,TO Norte,264.0,266.0
01/06/2022,Acre,259.0,261.0
01/06/2022,ES,269.0,271.0
01/06/2022,RJ,274.0,276.0
02/06/2022,SP Barretos,290.5,292.5
02/06/2022,SP Araçatuba,290.5,292.5
